iter	Passed	Remaining
0	1	163
1	2	131
2	3	112
3	4	103
4	5	95
5	5	90
6	6	86
7	7	83
8	8	82
9	9	83
10	9	80
11	11	82
12	12	81
13	13	80
14	14	80
15	15	80
16	16	78
17	16	76
18	17	74
19	18	72
20	18	71
21	19	69
22	20	68
23	21	68
24	22	67
25	23	65
26	23	64
27	24	63
28	25	63
29	27	64
30	29	66
31	30	65
32	31	63
33	32	62
34	33	61
35	34	61
36	35	59
37	35	58
38	36	57
39	37	56
40	38	54
41	38	53
42	39	51
43	40	52
44	42	51
45	42	49
46	44	49
47	44	48
48	46	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	40
55	50	39
56	51	39
57	52	38
58	54	37
59	55	36
60	56	36
61	58	35
62	60	35
63	61	34
64	62	33
65	63	32
66	63	31
67	64	30
68	66	29
69	67	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	22
77	74	21
78	75	20
79	76	19
80	76	18
81	77	17
82	77	15
83	78	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	91	0
99	92	0
